etwie,ɔkra,7.35
etwie,etwie,10
nwoma,krataa,7.46
kɔmputa,intanɛt,7.58
wiemhyɛn,ɛhyɛn,5.77
ketekye,ɛhyɛn,6.31
hamakasafo,nkitahodie,7.5
television,radio,6.77
kowaa,radio,7.42
panoo,television,6.19
borɔfoferɛ,borɔdweba,5.92
yaresafoɔ,yarehwɛfoɔ,7
ɔbenfoɔ,yaresafoɔ,6.62
osuani,ɔbenfoɔ,6.81
ben,osuani,4.62
ben,kwasea,5.81
adwumakuo,sikatam,7.08
sikatam,dwa,8.08
sikatam,hamakasofoɔ,1.62
sikatam,CD,1.31
sikatam,ketebɔ,0.92
sikatam,kosua,1.81
sikakorabea,sika,8.12
dua,kwaeɛ,7.73
sika,sika,9.15
ɔbenfoɔ,borɔfoferɛ,0.31
ɔbenfoɔ,ɛfan,0.23
ɔbenfoɔ,ɔhemaa,8.58
ɔbenfoɔ,akoa,5.92
ɔsɔfopanyin,ɔkyerɛkyerɛfoɔ,6.69
Yerusalem,Israel,8.46
Yerusalem,Palestinni,7.65
Maradona,bɔɔlo,8.62
bɔɔlo,bɔɔlo,9.03
Arafat,asomdwoeɛ,6.73
Arafat,ehu,7.65
Arafat,Jackson,2.5
mmara,mmaranimfoɔ,8.38
sini,nsoroma,7.38
sini,nkyeweɛ,6.19
sini,kyinnyegyefoɔ,6.73
sini,agohwɛbea,7.92
ehunumu,kafranyansa,4.88
nsa,kafranyansa,5.54
mmorɔsa,mmorɔsa,8.46
mmorɔsa,mmorɔsa,8.13
nom,ɛhyɛn,3.04
nom,aso,1.31
nom,ano,5.96
nom,di,6.87
akwadaafoforɔ,maame,7.85
nom,maame,2.65
ɛhyɛn,ɛhyɛn,8.94
adwinneɛ,sikadwinneɛ,8.96
akwantuo,akwantuo,9.29
abarimaa,aberantewa,8.83
mpoano,mpoano,9.1
abɔdamfoɔfie,abɔdamfoɔdan,8.87
sumanfoɔ,bayifoɔ,9.02
owigyinaeɛ,prɛmtoberɛ,9.29
fonoo,bukyia,8.79
aduane,aduaba,7.52
anomaa,akokɔnini,7.1
adwinnade,adwumayɛdeɛ,6.46
nuabarima,okokorani,6.27
aberantewa,nuabarima,4.46
akwantuo,ɛhyɛn,5.85
okokorani,kɔmfoɔ,5
aduane,akokɔnini,4.42
mpoano,bepɔwa,4.38
kwaeɛ,amusieeɛ,1.85
okokorani,akoa,0.92
mpoano,kwaeɛ,3.15
aberantewa,bayifoɔ,0.92
ahoma,nwenwene,0.54
ahwehwɛ,sumanfoɔ,2.08
prɛmtoberɛ,ahoma,0.54
akokɔnini,akwantuo,0.62
sika,dɔla,8.42
sika,sika,9.04
sika,ahonya,8.27
sika,agyapadeɛ,7.57
sika,agyapadeɛ,7.29
sika,sikakorabea,8.5
sika,dwumadie,3.31
etwie,ketebɔ,8
etwie,ɔkra,8
etwie,aboa,7
etwie,ateasedeɛ,4.77
etwie,aboa,5.62
etwie,mmoadoma korabea,5.87
okyinsoroma,nsoroma,8.45
okyinsoroma,ɔsrane,8.08
okyinsoroma,awia,8.02
okyinsoroma,ehunumu,7.92
kuruwa,kafe,6.58
kuruwa,nkukuo,6.85
kuruwa,adeɛ,2.4
kuruwa,adeɛ,2.92
kuruwa,adeɛ,3.69
kuruwa,adeɛ,2.15
kuruwa,nom,7.25
kuruwa,aduane,5
kuruwa,adeɛ,1.92
kuruwa,nsuo,5.9
ketebɔ,ɔkra,7.42
ketebɔ,ɛhyɛn,7.27
ahoɔden,ɔtwerɛfoɔ,1.81
ɔtwerɛfoɔ,mmarahyɛbadwa,5.06
ahoɔden,nhwehwɛmudan,5.09
kɔmputa,nhwehwɛmudan,6.78
akodeɛ,hinta,6.06
FBI,nhwehwɛmu,8.31
nhwehwɛmu,mmɔden,4.59
Mars,nsuo,2.94
Mars,abɔdeɛmunyansafoɔ,5.63
kaseɛ,amanebɔ,8.16
bɔn,asaase yɛbea,7.53
mfonini,ani,4.56
ohunu,ehunumu,6.34
nsuo,sosɔ,6.56
agyiraeɛ,tu,2.38
Wukuada,kaseɛ,2.22
kwansini,kilomita,8.66
kɔmputa,kaseɛ,4.47
asaase,ani,5.34
ahunumu,asaase yɛbea,3.69
ɔmanpanyin,abasobɔdeɛ,3
ntɔkwa,asraafoɔ,8.13
ntwerɛtohɔ,dodoɔ,6.31
honam,ani,6.22
Yapanni,Amɛrikani,6.5
agohwɛbea,abakɔsɛm,3.91
atuhoakyɛ,nnyinasoɔ,2.56
ntɛnkye,ohunu,3
nsiesie,nam,5.63
mfeha,afe,7.59
mfeha,ɔman,3.16
ntwentwɛnsoɔ,kaseɛ,3.31
ɔmansoafoɔ,amanyɔkuo,6.63
asomdwoeɛ,nhyehyeɛ,4.75
kumaa,asomdwoeɛ,3.69
mmɔdenmɔ,asomdwoeɛ,4.25
aban,asɛm,6.56
ahoɔden,asɛm,5.94
nkaebɔ,kaseɛ,7.56
nkaebɔ,mmɔden,2.75
nwodwoowa,ayaresabea,7.03
