S/N,English1,English2,Yoruba1,Yoruba2,EngSim
1,tiger,cat,ẹkùn,ológbò,7.35
2,tiger,tiger,ẹkùn,ẹkùn,10
3,book,paper,ìwé,bébà,7.46
4,computer,keyboard,kọ̀mpútà,pátákó ìtẹ̀wé,7.62
5,computer,internet,kọ̀mpútà,ayélujára,7.58
6,plane,car,ọkọ̀-òfúrufú,ọkọ̀,5.77
7,train,car,ọkọ̀-ojú-irin,ọkọ̀,6.31
8,telephone,communication,ẹ̀rọ-ìbáaraẹnisọ̀rọ̀,ìbáaraẹnisọ̀rọ̀,7.5
9,television,radio,tẹlifósìọ̀nù,rédíò,6.77
10,media,radio,ìkansíra-ẹni,rédíò,7.42
11,drug,abuse,òògùn,àsìlò,6.85
12,bread,butter,búrẹ́dì,bọ́tà,6.19
13,cucumber,potato,kùkúmbà,ànàmọ́,5.92
14,doctor,nurse,dókítà,nọ́ọ̀sì,7
15,professor,doctor,ọ̀jọ̀gbọ́n,ọ̀mọ̀wé,6.62
16,student,professor,akẹ́kọ̀ọ́,ọ̀jọ̀gbọ́n,6.81
17,smart,student,ajáfáfá,akẹ́ẹ̀kọ́,4.62
18,smart,stupid,ọlọgbọ́n,ọmùgọ̀,5.81
19,company,stock,ilé-iṣẹ́,àkójọ-ọjà,7.08
20,stock,market,àkójọ-ọjà,ọjà,8.08
21,stock,phone,àkójọ-ọjà,fóònù,1.62
22,stock,CD,àkójọ-ọjà,sídì,1.31
23,stock,jaguar,àkójọ-ọjà,jágúà,0.92
24,stock,egg,àkójọ-ọjà,ẹyin,1.81
25,fertility,egg,ọlọ́mọ,ẹyin,6.69
26,stock,live,àkójọ-ọjà,ààyè,3.73
27,stock,life,àkójọ-ọjà,ààyè,0.92
28,book,library,ìwé,ilé ìyáwèékàwé,7.46
29,bank,money,ilé-ìfowópamọ́,owó,8.12
30,wood,forest,igi,igbó,7.73
31,money,cash,owó,ìkàsì,9.15
32,professor,cucumber,ọ̀jọ̀gbọ́n,kùkúmbà,0.31
33,king,cabbage,ọba,kábéègì,0.23
34,king,queen,ọba,ayaba,8.58
35,king,rook,ọba,ìyànjẹ,5.92
36,bishop,rabbi,olórí-àlùúfà,olùkọ́ni,6.69
37,Jerusalem,Israel,jerúsálẹ́ẹ́mùù,ísírẹ́ẹ̀lì,8.46
38,Jerusalem,Palestinian,jerúsálẹ́ẹ́mùù,palẹ́sínì,7.65
39,holy,sex,mímọ́,ìbálòpọ̀,1.62
40,Maradona,football,Maradona,bọ́ọ̀lù-aláfẹsẹ̀gbá,8.62
41,football,soccer,bọ́ọ̀lù-aláfẹsẹ̀gbá,bọ́ọ̀lù,9.03
42,football,basketball,bọ́ọ̀lù-aláfẹsẹ̀gbá,bọ́ọ̀lù-inú-àgbọ̀n,6.81
43,football,tennis,bọ́ọ̀lù-aláfẹsẹ̀gbá,tẹníìsì,6.63
44,tennis,racket,tẹníìsì,rákẹ́ẹ̀tì,7.56
45,Arafat,peace,àràfá,àlááfìà,6.73
46,Arafat,terror,àràfá,ẹ̀rù,7.65
47,Arafat,Jackson,àràfá,jackson,2.5
48,law,lawyer,òfin,agbẹjọ́rọ̀,8.38
49,movie,star,eré,gbájúgbajà,7.38
50,movie,popcorn,eré,gúgúrú,6.19
51,movie,critic,eré,lámèétọ́,6.73
52,movie,theater,eré,eré orí-ìtàgé,7.92
53,physics,proton,físísì,protonu,8.12
54,physics,chemistry,físísì,kẹ́mísírì,7.35
55,space,chemistry,ààyè,kẹ́mísírì,4.88
56,alcohol,chemistry,ọtí,kẹ́mísírì,5.54
57,vodka,gin,ọtí-fódíkà,ọtí-jíìnì,8.46
